24:d3:f2:a7:b3:cd,b4:74:9f:ba:83:34,b0:89:00:74:7c:84,9c:d6:43:cb:23:c0,30:99:35:90:32:9f,44:fb:5a:d2:d0:61,d8:0d:17:db:be:92,10:10:81:ad:c4:92,f4:e3:fb:90:3a:a8,indoor,roomNum
-100,-100,-77,-75,-100,-100,-100,-100,-39,0,0
-100,-100,-79,-68,-100,-100,-86,-100,-37,0,0
-100,-100,-64,-61,-92,-74,-81,-100,-54,0,0
-100,-100,-54,-53,-100,-100,-72,-100,-61,0,0
-100,-85,-68,-52,-75,-100,-78,-100,-78,0,0
-100,-100,-75,-57,-100,-80,-100,-82,-64,0,0
-100,-100,-69,-70,-100,-80,-77,-100,-39,0,0
-100,-100,-70,-51,-100,-79,-65,-80,-71,0,0
-100,-100,-100,-100,-100,-86,-100,-100,-40,0,0
-100,-100,-67,-61,-100,-100,-78,-80,-51,0,0
-100,-100,-83,-64,-100,-83,-83,-100,-55,0,0
-100,-100,-82,-64,-100,-83,-82,-100,-61,0,0
-100,-100,-86,-64,-100,-83,-81,-100,-61,0,0
-100,-100,-83,-65,-100,-80,-86,-100,-59,0,0
-100,-100,-80,-65,-100,-84,-82,-100,-68,0,0
-100,-100,-81,-66,-100,-72,-82,-100,-68,0,0
-100,-100,-82,-64,-100,-82,-100,-100,-55,0,0
-100,-100,-83,-65,-100,-84,-91,-100,-59,0,0
-100,-100,-79,-100,-100,-86,-83,-100,-56,0,0
-100,-100,-82,-68,-100,-85,-84,-100,-56,0,0
-100,-100,-85,-67,-100,-82,-84,-100,-56,0,0
-100,-100,-78,-59,-100,-64,-100,-100,-76,0,0
-100,-100,-77,-58,-100,-64,-89,-100,-57,0,0
-100,-100,-76,-59,-100,-66,-93,-100,-59,0,0
-100,-100,-64,-56,-100,-64,-72,-79,-67,0,0
-100,-100,-63,-69,-100,-65,-69,-77,-54,0,0
-100,-100,-66,-56,-100,-64,-68,-100,-54,0,0
-100,-100,-65,-56,-100,-65,-70,-100,-56,0,0
-100,-100,-65,-61,-81,-65,-100,-100,-56,0,0
-100,-100,-62,-100,-100,-65,-70,-79,-54,0,0
-100,-100,-66,-57,-100,-65,-100,-100,-56,0,0
-100,-100,-65,-58,-100,-63,-70,-77,-59,0,0
-100,-100,-60,-100,-100,-66,-75,-100,-55,0,0
-100,-100,-64,-61,-100,-66,-70,-76,-53,0,0
-100,-100,-64,-100,-100,-65,-71,-79,-50,0,0
-100,-100,-65,-61,-100,-66,-70,-80,-59,0,0
-100,-100,-65,-56,-100,-67,-70,-79,-54,0,0
-100,-100,-62,-58,-100,-65,-74,-100,-51,0,0
-100,-100,-63,-100,-100,-66,-71,-100,-55,0,0
-100,-84,-60,-58,-100,-63,-82,-75,-59,0,0
-100,-100,-59,-51,-100,-65,-100,-100,-57,0,0
-100,-100,-59,-66,-100,-63,-100,-100,-56,0,0
-100,-79,-59,-55,-100,-65,-100,-100,-57,0,0
-100,-76,-64,-55,-100,-64,-100,-100,-57,0,0
-100,-100,-59,-50,-100,-67,-100,-100,-62,0,0
-100,-81,-64,-57,-100,-66,-77,-100,-59,0,0
-100,-100,-65,-57,-100,-65,-78,-100,-61,0,0
-100,-79,-68,-57,-100,-66,-76,-78,-56,0,0
-100,-100,-60,-62,-100,-66,-80,-77,-59,0,0
-100,-86,-60,-55,-100,-65,-79,-100,-58,0,0
-100,-100,-60,-62,-100,-67,-100,-100,-59,0,0
-100,-100,-58,-57,-100,-64,-74,-100,-57,0,0
-100,-76,-62,-36,-75,-74,-68,-100,-68,0,0
-100,-61,-70,-40,-100,-80,-73,-100,-100,0,0
-100,-67,-75,-41,-80,-81,-75,-100,-74,0,0
-100,-62,-70,-51,-100,-76,-77,-73,-72,0,0
-100,-60,-72,-40,-80,-79,-100,-73,-73,0,0
-100,-62,-75,-42,-100,-81,-100,-73,-73,0,0
-100,-60,-72,-40,-85,-79,-68,-100,-74,0,0
-100,-68,-74,-40,-80,-78,-73,-100,-71,0,0
-100,-62,-72,-40,-100,-78,-100,-100,-69,0,0
-100,-100,-64,-100,-100,-100,-80,-100,-57,0,0
-100,-79,-58,-54,-83,-79,-100,-100,-59,0,0
-100,-100,-58,-51,-100,-76,-81,-77,-57,0,0
-100,-100,-58,-100,-100,-77,-79,-100,-59,0,0
-100,-100,-58,-63,-100,-100,-100,-82,-57,0,0
-100,-80,-57,-51,-83,-77,-76,-78,-57,0,0
-100,-79,-58,-51,-100,-75,-82,-100,-57,0,0
-100,-79,-58,-52,-100,-78,-83,-100,-57,0,0
-100,-73,-52,-57,-100,-100,-74,-85,-64,0,0
-100,-73,-51,-56,-100,-100,-75,-100,-62,0,0
-100,-73,-51,-66,-100,-100,-100,-100,-61,0,0
-100,-73,-52,-56,-85,-80,-73,-100,-61,0,0
-100,-72,-51,-55,-100,-100,-100,-100,-63,0,0
-100,-79,-51,-55,-86,-74,-75,-85,-66,0,0
-100,-82,-69,-47,-78,-74,-76,-100,-61,0,0
-100,-82,-71,-44,-74,-73,-68,-77,-62,0,0
-100,-78,-69,-45,-100,-73,-72,-100,-59,0,0
-100,-77,-70,-44,-100,-77,-70,-100,-60,0,0
-100,-83,-68,-55,-72,-100,-72,-79,-60,0,0
-100,-76,-69,-44,-100,-72,-74,-100,-60,0,0
-100,-83,-70,-45,-100,-73,-72,-77,-60,0,0
-100,-100,-55,-77,-83,-83,-100,-81,-73,0,0
-100,-100,-55,-54,-100,-100,-83,-78,-77,0,0
-100,-100,-55,-66,-79,-100,-86,-77,-87,0,0
-100,-88,-54,-55,-78,-88,-87,-76,-72,0,0
-100,-100,-56,-58,-78,-100,-85,-78,-74,0,0
-100,-100,-56,-56,-100,-100,-83,-100,-71,0,0
-100,-100,-56,-55,-100,-85,-83,-100,-74,0,0
-100,-100,-55,-54,-100,-87,-100,-100,-80,0,0
-100,-100,-58,-54,-100,-85,-85,-76,-76,0,0
-100,-100,-56,-69,-80,-82,-86,-78,-100,0,0
-100,-100,-57,-67,-79,-100,-100,-79,-78,0,0
-100,-100,-55,-56,-78,-100,-82,-100,-73,0,0
-100,-100,-52,-100,-85,-100,-85,-81,-92,0,0
-100,-85,-55,-60,-100,-100,-79,-100,-76,0,0
-100,-89,-55,-66,-100,-87,-83,-77,-79,0,0
-100,-100,-53,-57,-100,-100,-83,-77,-100,0,0
-100,-100,-57,-70,-100,-100,-85,-100,-77,0,0
-100,-100,-54,-66,-84,-100,-100,-100,-85,0,0
-100,-100,-53,-73,-82,-100,-100,-84,-75,0,0
-100,-88,-55,-57,-83,-100,-82,-79,-77,0,0
-100,-100,-54,-67,-82,-100,-83,-79,-76,0,0
-100,-100,-55,-58,-100,-82,-84,-78,-80,0,0
-100,-100,-55,-59,-100,-87,-82,-100,-79,0,0
-100,-78,-62,-49,-100,-87,-100,-74,-61,0,0
-100,-88,-64,-49,-76,-76,-56,-100,-82,0,0
-100,-80,-64,-91,-84,-61,-84,-100,-65,0,0
-100,-88,-59,-100,-100,-64,-100,-89,-74,0,0
-100,-82,-56,-61,-100,-63,-77,-100,-69,0,0
-100,-100,-58,-59,-100,-67,-100,-100,-68,0,0
-100,-82,-59,-58,-100,-63,-78,-100,-68,0,0
-93,-100,-59,-61,-100,-68,-84,-100,-75,0,0
-100,-100,-62,-57,-80,-67,-80,-100,-64,0,0
-100,-80,-58,-56,-100,-64,-76,-100,-68,0,0
-100,-95,-61,-60,-100,-64,-78,-100,-64,0,0
-100,-88,-63,-61,-100,-64,-84,-100,-66,0,0
-100,-89,-59,-58,-100,-68,-79,-100,-66,0,0
-95,-76,-56,-70,-100,-100,-78,-100,-67,0,0
-100,-88,-58,-62,-100,-66,-77,-100,-62,0,0
-100,-81,-59,-100,-82,-70,-78,-100,-67,0,0
-100,-96,-58,-57,-100,-66,-82,-100,-68,0,0
-90,-100,-61,-73,-100,-100,-73,-100,-58,0,0
-100,-100,-60,-100,-100,-72,-75,-100,-64,0,0
-100,-100,-60,-71,-100,-69,-74,-100,-64,0,0
-100,-100,-62,-71,-100,-67,-100,-77,-62,0,0
-100,-100,-61,-58,-100,-69,-74,-100,-64,0,0
-100,-100,-61,-77,-100,-70,-100,-100,-71,0,0
-100,-100,-61,-64,-100,-71,-72,-100,-60,0,0
-100,-100,-63,-72,-100,-68,-77,-100,-56,0,0
-93,-100,-59,-64,-100,-67,-72,-100,-62,0,0
-100,-81,-73,-56,-100,-75,-81,-100,-51,0,0
-98,-88,-69,-54,-100,-73,-75,-85,-60,0,0
-100,-100,-77,-53,-100,-71,-79,-100,-66,0,0
-100,-100,-71,-49,-100,-64,-80,-100,-58,0,0
-100,-100,-70,-51,-100,-68,-100,-100,-61,0,0
-100,-100,-69,-53,-100,-73,-100,-100,-61,0,0
-100,-100,-69,-52,-100,-68,-75,-100,-61,0,0
-100,-100,-67,-52,-100,-74,-77,-100,-58,0,0
-100,-100,-70,-61,-100,-64,-77,-86,-60,0,0
-100,-100,-71,-53,-100,-71,-100,-86,-59,0,0
-100,-100,-69,-53,-100,-73,-76,-100,-62,0,0
-100,-100,-68,-53,-88,-71,-74,-100,-57,0,0
-100,-100,-70,-55,-100,-72,-76,-100,-57,0,0
-100,-86,-69,-52,-86,-72,-75,-100,-57,0,0
-100,-100,-70,-50,-100,-73,-92,-100,-58,0,0
-100,-78,-68,-67,-100,-86,-71,-82,-70,0,0
-100,-100,-79,-65,-100,-82,-77,-100,-41,0,0
-100,-80,-59,-65,-85,-80,-72,-73,-55,0,0
-100,-100,-100,-64,-100,-82,-85,-100,-51,0,0
-100,-73,-58,-42,-73,-93,-76,-76,-70,0,0
-100,-84,-63,-67,-96,-74,-75,-77,-51,0,0
-100,-100,-60,-57,-100,-100,-80,-100,-69,0,0
-100,-100,-58,-49,-100,-81,-87,-100,-63,0,0
-89,-86,-66,-64,-68,-74,-100,-100,-67,0,0
-100,-83,-70,-56,-75,-82,-80,-100,-60,0,0
-100,-100,-73,-57,-75,-73,-78,-100,-62,0,0
-100,-79,-68,-44,-77,-100,-70,-100,-65,0,0
-100,-100,-72,-61,-100,-100,-72,-100,-68,0,0
-100,-86,-68,-47,-79,-78,-70,-74,-74,0,0
-100,-100,-63,-51,-77,-78,-71,-100,-100,0,0
-100,-78,-64,-53,-85,-77,-77,-100,-58,0,0
-100,-89,-66,-56,-73,-100,-77,-100,-62,0,0
-100,-100,-67,-59,-100,-73,-100,-100,-67,0,0
-100,-100,-65,-67,-100,-100,-64,-100,-56,0,0
-100,-100,-58,-55,-100,-71,-74,-100,-57,0,0
-100,-100,-68,-44,-76,-82,-77,-100,-67,0,0
-100,-100,-80,-100,-100,-81,-81,-84,-43,0,0
-100,-100,-79,-67,-100,-79,-93,-100,-53,0,0
-100,-100,-72,-58,-100,-100,-84,-100,-60,0,0
-100,-100,-74,-76,-100,-100,-86,-100,-53,0,0
-100,-100,-70,-88,-100,-93,-81,-100,-51,0,0
-100,-100,-72,-74,-100,-93,-76,-82,-48,0,0
