24:d3:f2:a7:b3:cd,b4:74:9f:ba:83:34,b0:89:00:74:7c:84,9c:d6:43:cb:23:c0,30:99:35:90:32:9f,44:fb:5a:d2:d0:61,d8:0d:17:db:be:92,10:10:81:ad:c4:92,f4:e3:fb:90:3a:a8,indoor,roomNum
,,,,,,,//Mobile Tawfik,,,
-42,-100,-73,-80,-75,-100,-100,-100,-100,1,1
-66,-57,-81,-82,-100,-100,-100,-100,-100,1,1
-74,-42,-53,-64,-100,-100,-100,-100,-100,1,1
-76,-51,-70,-62,-100,-100,-100,-100,-100,1,1
-74,-63,-78,-100,-65,-100,-100,-100,-100,1,1
-68,-69,-69,-72,-100,-100,-100,-100,-100,1,1
-77,-75,-81,-100,-74,-100,-100,-100,-100,1,1
-74,-46,-45,-58,-100,-100,-100,-100,-100,1,1
-66,-60,-71,-76,-100,-100,-90,-100,-100,1,1
-55,-100,-70,-80,-100,-100,-100,-100,-100,1,1
-69,-49,-54,-69,-100,-100,-100,-100,-100,1,1
-64,-60,-76,-72,-81,-100,-100,-100,-100,1,1
-55,-80,-86,-86,-100,-100,-100,-100,-100,1,1
-81,-62,-68,-65,-100,-100,-100,-100,-100,1,1
-100,-51,-68,-59,-100,-100,-100,-100,-100,1,1
-100,-54,-58,-62,-100,-100,-100,-100,-100,1,1
-100,-55,-64,-68,-100,-100,-100,-100,-100,1,1
-91,-55,-65,-68,-100,-100,-100,-100,-100,1,1
-100,-53,-67,-62,-100,-100,-100,-100,-100,1,1
-100,-47,-75,-70,-80,-100,-100,-100,-100,1,1
-79,-69,-66,-60,-85,-100,-100,-100,-100,1,1
-100,-62,-71,-67,-69,-100,-100,-100,-100,1,1
-71,-67,-80,-64,-77,-100,-100,-100,-100,1,1
-71,-67,-80,-64,-77,-100,-100,-100,-100,1,1
-87,-50,-71,-67,-100,-100,-100,-100,-100,1,1
-100,-55,-66,-50,-100,-100,-100,-100,-100,1,1
-79,-53,-71,-63,-100,-100,-100,-100,-100,1,1
-100,-61,-64,-66,-100,-100,-88,-100,-100,1,1
-82,-62,-74,-100,-85,-100,-100,-100,-100,1,1
-100,-57,-68,-62,-100,-100,-100,-100,-100,1,1
-72,-100,-70,-60,-72,-100,-100,-100,-100,1,1
-100,-50,-65,-100,-100,-100,-100,-100,-100,1,1
-100,-55,-61,-54,-100,-100,-100,-100,-100,1,1
-100,-61,-61,-63,-100,-100,-100,-100,-100,1,1
-68,-49,-69,-60,-88,-100,-100,-100,-100,1,1
-76,-54,-55,-63,-100,-100,-100,-100,-100,1,1
-59,-78,-73,-86,-90,-100,-100,-100,-100,1,1
-47,-75,-81,-81,-82,-100,-100,-100,-100,1,1
-46,-77,-79,-100,-100,-100,-100,-100,-100,1,1
-40,-80,-84,-80,-71,-100,-84,-100,-100,1,1
-40,-100,-73,-75,-100,-100,-100,-100,-100,1,1
-31,-100,-80,-78,-61,-100,-100,-100,-100,1,1
-45,-77,-89,-78,-69,-100,-100,-100,-100,1,1
-56,-62,-67,-73,-78,-100,-100,-100,-100,1,1
-79,-47,-75,-63,-100,-100,-100,-100,-100,1,1
-81,-60,-63,-59,-100,-100,-100,-100,-100,1,1
-73,-58,-61,-67,-79,-100,-100,-100,-100,1,1
-59,-75,-77,-82,-86,-100,-100,-100,-100,1,1
-65,-84,-74,-88,-76,-100,-100,-100,-100,1,1
-66,-83,-100,-100,-72,-100,-100,-100,-100,1,1
-55,-79,-78,-100,-75,-81,-81,-100,-100,1,1
-46,-74,-91,-83,-68,-82,-88,-100,-100,1,1
-44,-86,-100,-91,-78,-100,-85,-100,-100,1,1
-53,-100,-85,-100,-61,-100,-89,-100,-100,1,1
-27,-80,-75,-81,-68,-100,-84,-100,-100,1,1
-53,-78,-82,-79,-62,-81,-100,-100,-100,1,1
-52,-83,-86,-100,-64,-100,-100,-100,-100,1,1
-59,-84,-100,-83,-59,-82,-100,-100,-100,1,1
-44,-100,-86,-100,-59,-81,-100,-100,-100,1,1
-54,-86,-100,-100,-67,-100,-100,-100,-100,1,1
-45,-78,-76,-100,-62,-84,-100,-100,-100,1,1
-56,-81,-82,-80,-57,-80,-100,-100,-100,1,1
-54,-78,-100,-89,-62,-79,-100,-100,-100,1,1
-64,-100,-92,-81,-65,-100,-100,-100,-100,1,1
-61,-100,-100,-100,-69,-81,-100,-100,-100,1,1
-45,-100,-88,-84,-100,-74,-100,-100,-100,1,1
-56,-100,-82,-100,-64,-75,-100,-100,-100,1,1
-53,-84,-81,-100,-70,-100,-100,-100,-100,1,1
-41,-77,-70,-100,-71,-82,-100,-100,-100,1,1
-39,-78,-74,-100,-100,-85,-100,-100,-100,1,1
-58,-100,-92,-100,-72,-82,-100,-100,-100,1,1
-36,-100,-100,-100,-100,-89,-78,-100,-100,1,1
-54,-100,-76,-100,-75,-100,-100,-100,-100,1,1
-76,-100,-75,-100,-75,-89,-85,-100,-100,1,1
-51,-73,-66,-100,-74,-82,-100,-100,-100,1,1
-69,-66,-74,-83,-100,-89,-94,-100,-100,1,1
-63,-61,-82,-61,-100,-80,-100,-100,-100,1,1
-81,-68,-77,-70,-100,-81,-100,-100,-100,1,1
-76,-53,-58,-62,-84,-89,-100,-100,-95,1,1
-72,-51,-70,-100,-79,-100,-100,-100,-100,1,1
-73,-45,-65,-54,-100,-85,-100,-100,-86,1,1
-88,-56,-72,-58,-87,-100,-100,-100,-100,1,1
-65,-55,-76,-72,-77,-100,-100,-100,-100,1,1
-75,-56,-67,-65,-80,-100,-100,-100,-100,1,1
-73,-64,-62,-64,-100,-100,-100,-100,-100,1,1
-49,-80,-75,-84,-74,-87,-100,-100,-100,1,1
-35,-80,-83,-100,-68,-80,-100,-100,-100,1,1
-57,-84,-93,-100,-67,-88,-100,-100,-100,1,1
-76,-75,-78,-84,-76,-100,-84,-100,-100,1,1
-59,-80,-100,-100,-76,-92,-100,-100,-100,1,1
-61,-76,-85,-100,-72,-100,-77,-100,-100,1,1
-52,-100,-74,-100,-88,-100,-100,-100,-100,1,1
-43,-70,-70,-93,-100,-100,-100,-100,-100,1,1
-37,-74,-72,-100,-54,-81,-100,-100,-100,1,1
-43,-75,-85,-100,-65,-85,-100,-100,-100,1,1
-48,-80,-85,-100,-67,-76,-100,-100,-100,1,1
-43,-78,-73,-100,-73,-83,-100,-100,-100,1,1
-44,-100,-82,-100,-66,-100,-84,-100,-100,1,1
-41,-100,-87,-100,-61,-82,-76,-100,-100,1,1
-47,-77,-80,-84,-72,-100,-100,-100,-100,1,1
-60,-82,-80,-100,-83,-100,-78,-100,-100,1,1
-41,-80,-81,-79,-74,-100,-92,-100,-100,1,1
-54,-71,-67,-100,-100,-100,-100,-100,-100,1,1
-49,-100,-67,-85,-70,-100,-91,-100,-100,1,1
-62,-64,-63,-100,-100,-100,-100,-100,-100,1,1
-69,-69,-87,-75,-100,-83,-75,-100,-100,1,1
-49,-100,-75,-86,-74,-100,-76,-100,-100,1,1
-48,-80,-86,-91,-62,-100,-100,-100,-100,1,1
-59,-81,-73,-87,-100,-100,-100,-100,-100,1,1
-58,-76,-76,-84,-100,-93,-95,-100,-100,1,1
-59,-69,-82,-76,-87,-100,-100,-100,-100,1,1
-62,-77,-78,-78,-77,-100,-89,-100,-100,1,1
-63,-74,-67,-100,-100,-100,-92,-100,-100,1,1
-54,-67,-65,-75,-100,-100,-100,-100,-100,1,1
-62,-79,-63,-100,-100,-100,-92,-100,-92,1,1
-52,-81,-77,-82,-76,-92,-89,-100,-100,1,1
-40,-76,-83,-100,-78,-100,-100,-100,-100,1,1
-48,-100,-84,-85,-70,-89,-100,-100,-100,1,1
-48,-77,-71,-84,-83,-100,-100,-100,-100,1,1
-62,-100,-100,-100,-82,-100,-91,-100,-100,1,1
-62,-76,-77,-100,-71,-100,-87,-100,-100,1,1
-54,-100,-81,-86,-64,-80,-80,-100,-100,1,1
-43,-100,-89,-100,-78,-90,-87,-100,-100,1,1
-53,-100,-90,-90,-73,-82,-100,-100,-100,1,1
-37,-83,-84,-100,-68,-93,-100,-100,-100,1,1
-47,-100,-88,-100,-71,-100,-86,-100,-100,1,1
-56,-100,-68,-79,-78,-86,-100,-100,-100,1,1
-47,-100,-78,-85,-81,-89,-100,-100,-100,1,1
-57,-72,-64,-87,-87,-100,-100,-100,-100,1,1
-50,-69,-74,-83,-73,-100,-88,-100,-100,1,1
-47,-67,-70,-100,-82,-100,-85,-100,-100,1,1
-74,-46,-53,-53,-100,-100,-93,-100,-92,1,1
-82,-54,-62,-64,-75,-84,-100,-100,-100,1,1
-64,-45,-53,-62,-81,-81,-100,-100,-100,1,1
-69,-59,-65,-62,-100,-85,-100,-100,-95,1,1
-59,-57,-66,-75,-100,-86,-100,-100,-100,1,1
-69,-61,-77,-70,-80,-88,-100,-100,-100,1,1
-75,-62,-67,-72,-89,-85,-100,-100,-100,1,1
-73,-65,-80,-70,-69,-95,-100,-100,-100,1,1
-76,-47,-67,-69,-100,-83,-100,-100,-100,1,1
-75,-45,-72,-66,-100,-86,-100,-100,-100,1,1
-74,-55,-71,-73,-85,-88,-100,-100,-93,1,1
-52,-60,-72,-87,-75,-93,-89,-100,-100,1,1
-52,-75,-73,-100,-77,-100,-100,-100,-100,1,1
-49,-73,-67,-85,-79,-100,-100,-100,-100,1,1
-69,-100,-72,-100,-74,-100,-77,-100,-100,1,1
-53,-100,-79,-100,-70,-91,-100,-100,-100,1,1
-46,-75,-74,-100,-64,-90,-100,-100,-100,1,1
-55,-78,-72,-83,-77,-100,-100,-100,-100,1,1
-54,-84,-79,-100,-100,-91,-100,-100,-100,1,1
-71,-54,-76,-60,-77,-89,-100,-100,-100,1,1
-82,-60,-61,-51,-91,-100,-100,-100,-86,1,1
-78,-71,-81,-57,-82,-83,-100,-100,-100,1,1
-74,-51,-62,-59,-79,-87,-100,-100,-100,1,1
-75,-52,-70,-63,-83,-86,-100,-100,-100,1,1
-74,-56,-60,-91,-100,-100,-100,-100,-100,1,1
-77,-61,-60,-54,-71,-81,-100,-100,-100,1,1
-73,-44,-62,-54,-100,-87,-100,-100,-100,1,1
-78,-100,-81,-68,-78,-88,-100,-100,-100,1,1
-74,-65,-73,-64,-100,-84,-100,-100,-100,1,1
-100,-78,-86,-58,-80,-84,-100,-100,-100,1,1
-70,-59,-76,-68,-76,-91,-100,-100,-90,1,1
-81,-64,-80,-59,-100,-100,-100,-100,-100,1,1
-84,-55,-85,-69,-100,-100,-100,-100,-100,1,1
-76,-45,-66,-62,-100,-100,-100,-100,-91,1,1
-72,-100,-69,-65,-100,-100,-100,-100,-100,1,1
-73,-50,-65,-56,-100,-89,-100,-100,-100,1,1
-82,-45,-77,-57,-100,-100,-100,-100,-100,1,1
-73,-47,-52,-67,-74,-77,-100,-100,-100,1,1
-100,-43,-54,-62,-100,-86,-93,-100,-100,1,1
-77,-51,-61,-63,-100,-100,-100,-100,-93,1,1
-78,-49,-46,-54,-75,-79,-100,-100,-94,1,1
-100,-57,-53,-65,-100,-100,-100,-100,-100,1,1
-64,-46,-65,-58,-76,-87,-100,-100,-100,1,1
-100,-55,-80,-58,-85,-87,-100,-100,-100,1,1
-82,-60,-71,-55,-100,-81,-100,-100,-100,1,1
-75,-49,-61,-53,-82,-84,-100,-100,-90,1,1
-58,-57,-55,-77,-100,-93,-100,-100,-100,1,1
-50,-68,-62,-86,-80,-100,-100,-100,-100,1,1
-56,-70,-70,-100,-71,-92,-100,-100,-100,1,1
-61,-56,-72,-67,-100,-100,-86,-100,-91,1,1
-71,-52,-62,-72,-79,-88,-100,-100,-100,1,1
-73,-55,-69,-66,-100,-85,-100,-100,-91,1,1
-79,-65,-81,-79,-100,-100,-100,-100,-100,1,1
-100,-69,-77,-59,-88,-100,-100,-100,-100,1,1
-75,-53,-67,-52,-100,-100,-100,-100,-100,1,1
-79,-53,-61,-61,-92,-100,-100,-100,-92,1,1
-82,-58,-68,-65,-85,-93,-100,-100,-100,1,1
-100,-69,-74,-71,-100,-92,-100,-100,-100,1,1
-77,-100,-67,-66,-78,-100,-100,-100,-100,1,1
-64,-66,-65,-72,-100,-77,-100,-100,-100,1,1
-66,-72,-78,-74,-72,-85,-100,-100,-100,1,1
-57,-72,-100,-71,-85,-86,-100,-100,-100,1,1
-63,-54,-76,-65,-75,-88,-100,-100,-100,1,1
-59,-58,-75,-68,-70,-100,-100,-100,-100,1,1
-59,-58,-76,-71,-100,-100,-100,-100,-100,1,1
-59,-100,-74,-71,-72,-86,-100,-100,-100,1,1
-76,-70,-64,-55,-73,-82,-100,-100,-100,1,1
-75,-70,-61,-57,-86,-86,-100,-100,-100,1,1
-61,-69,-88,-69,-75,-79,-100,-100,-93,1,1
-61,-71,-78,-63,-71,-79,-100,-100,-100,1,1
-67,-69,-74,-59,-100,-87,-100,-100,-100,1,1
-67,-70,-77,-63,-100,-92,-100,-100,-100,1,1
-82,-84,-89,-66,-82,-92,-100,-100,-100,1,1
-77,-75,-88,-53,-74,-89,-100,-100,-100,1,1
-79,-70,-83,-53,-73,-88,-100,-100,-100,1,1
-79,-70,-79,-54,-70,-100,-100,-100,-100,1,1
-79,-60,-73,-66,-82,-100,-100,-100,-100,1,1
-100,-64,-68,-100,-82,-100,-100,-100,-100,1,1
-80,-60,-72,-65,-81,-100,-100,-100,-100,1,1
-72,-54,-83,-64,-81,-92,-100,-100,-100,1,1
-82,-51,-78,-66,-91,-100,-100,-100,-94,1,1
-78,-48,-75,-67,-100,-90,-100,-100,-100,1,1
-83,-59,-69,-69,-100,-100,-100,-100,-95,1,1
-82,-46,-66,-56,-77,-92,-100,-100,-100,1,1
-70,-64,-63,-69,-100,-100,-88,-100,-95,1,1
-56,-70,-75,-83,-76,-100,-100,-100,-100,1,1
-59,-100,-72,-100,-100,-100,-100,-100,-100,1,1
-61,-67,-77,-100,-77,-100,-93,-100,-100,1,1
-61,-69,-82,-100,-78,-100,-100,-100,-100,1,1
-58,-69,-72,-100,-82,-92,-100,-100,-100,1,1
-53,-66,-64,-100,-100,-92,-100,-100,-100,1,1
-60,-68,-71,-100,-80,-87,-91,-100,-100,1,1
-63,-73,-75,-89,-77,-87,-100,-100,-100,1,1
-49,-82,-75,-100,-100,-100,-100,-100,-100,1,1
-44,-79,-76,-100,-100,-85,-100,-100,-100,1,1
-40,-82,-79,-100,-80,-88,-83,-100,-100,1,1
-59,-100,-93,-100,-70,-100,-100,-100,-100,1,1
-48,-80,-82,-100,-73,-87,-100,-100,-100,1,1
-52,-81,-100,-100,-67,-100,-100,-100,-100,1,1
-55,-100,-92,-100,-75,-89,-89,-100,-100,1,1
-37,-84,-82,-100,-75,-89,-100,-100,-100,1,1
-40,-89,-71,-100,-70,-83,-86,-100,-100,1,1
-75,-77,-74,-100,-85,-100,-100,-100,-100,1,1
-62,-63,-66,-100,-75,-100,-100,-100,-100,1,1
-54,-76,-79,-100,-74,-100,-100,-100,-100,1,1
-56,-74,-68,-88,-100,-100,-100,-100,-100,1,1
-53,-68,-73,-100,-100,-100,-100,-100,-100,1,1
-53,-82,-84,-100,-84,-100,-100,-100,-100,1,1
-50,-57,-66,-100,-91,-100,-89,-100,-100,1,1
-85,-52,-65,-59,-66,-84,-100,-100,-100,1,1
-72,-46,-62,-56,-76,-100,-100,-100,-100,1,1
-76,-49,-67,-61,-84,-85,-100,-100,-100,1,1
-78,-55,-81,-100,-78,-83,-100,-100,-100,1,1
-47,-78,-77,-100,-79,-100,-100,-100,-100,1,1
-55,-75,-75,-87,-83,-100,-100,-100,-100,1,1
-49,-76,-72,-100,-83,-100,-82,-100,-100,1,1
-42,-79,-75,-100,-74,-100,-90,-100,-100,1,1
-36,-100,-76,-100,-100,-88,-91,-100,-100,1,1
-37,-100,-71,-100,-82,-100,-100,-100,-100,1,1
-48,-83,-80,-100,-82,-87,-100,-100,-100,1,1
-50,-100,-82,-100,-70,-90,-79,-100,-100,1,1
-26,-75,-81,-82,-100,-89,-100,-100,-100,1,1
-42,-74,-73,-88,-64,-85,-100,-100,-100,1,1
-52,-100,-86,-100,-70,-84,-100,-100,-100,1,1
-54,-82,-86,-94,-68,-75,-92,-100,-100,1,1
-51,-100,-88,-85,-68,-84,-100,-100,-100,1,1
-42,-100,-82,-100,-68,-82,-100,-100,-100,1,1
-45,-100,-77,-84,-66,-83,-100,-100,-100,1,1
-45,-80,-84,-100,-70,-100,-100,-100,-100,1,1
-45,-84,-80,-86,-60,-71,-100,-100,-100,1,1
-44,-82,-80,-100,-57,-71,-100,-100,-100,1,1
-37,-86,-82,-100,-80,-84,-100,-100,-100,1,1
-100,-49,-66,-58,-76,-100,-100,-100,-100,1,1
-54,-100,-84,-100,-100,-100,-100,-100,-100,1,1
-56,-87,-87,-100,-70,-100,-100,-100,-100,1,1
-74,-57,-66,-61,-80,-100,-100,-100,-92,1,1
-69,-63,-78,-60,-88,-84,-100,-100,-100,1,1
-78,-60,-71,-66,-85,-85,-100,-100,-100,1,1
-87,-58,-81,-81,-100,-100,-100,-100,-100,1,1
-100,-63,-68,-57,-83,-88,-100,-100,-100,1,1
-83,-51,-68,-67,-79,-100,-100,-100,-100,1,1
-79,-53,-76,-65,-90,-100,-91,-100,-90,1,1
-79,-49,-73,-65,-100,-90,-100,-100,-89,1,1
-78,-44,-70,-69,-100,-92,-100,-100,-100,1,1
-72,-40,-64,-82,-85,-93,-100,-100,-100,1,1
-76,-39,-67,-70,-100,-100,-100,-100,-100,1,1
-70,-33,-76,-63,-100,-88,-100,-100,-100,1,1
-78,-44,-56,-73,-100,-93,-100,-100,-100,1,1
-79,-49,-59,-56,-78,-89,-93,-100,-100,1,1
-77,-50,-71,-55,-78,-84,-94,-100,-100,1,1
-86,-53,-70,-64,-100,-100,-100,-100,-90,1,1
-70,-48,-54,-60,-90,-100,-100,-100,-92,1,1
-83,-45,-53,-56,-74,-100,-100,-100,-90,1,1
-73,-44,-71,-53,-100,-92,-100,-100,-94,1,1
-72,-46,-72,-57,-70,-100,-100,-100,-100,1,1
-65,-52,-72,-60,-100,-86,-100,-100,-100,1,1
-66,-88,-89,-100,-100,-72,-100,-100,-100,1,1
-73,-100,-82,-100,-67,-70,-100,-100,-100,1,1
-79,-52,-70,-55,-82,-89,-100,-100,-100,1,1
-76,-47,-70,-62,-92,-100,-100,-100,-88,1,1
-76,-54,-72,-57,-100,-100,-100,-100,-100,1,1
-81,-55,-72,-59,-78,-89,-100,-100,-100,1,1
-78,-54,-70,-60,-77,-100,-100,-100,-100,1,1
-70,-51,-59,-59,-80,-84,-100,-100,-92,1,1
-73,-58,-71,-59,-100,-100,-100,-100,-100,1,1
-75,-54,-64,-57,-82,-85,-100,-100,-100,1,1
-82,-61,-76,-68,-100,-100,-100,-100,-100,1,1
-74,-62,-61,-63,-100,-80,-100,-100,-100,1,1
-74,-63,-65,-64,-80,-82,-100,-100,-100,1,1
-80,-55,-74,-64,-100,-100,-100,-100,-100,1,1
-79,-54,-67,-66,-100,-100,-100,-100,-89,1,1
-71,-52,-66,-77,-100,-100,-100,-100,-100,1,1
-70,-52,-65,-100,-83,-100,-100,-100,-100,1,1
-62,-70,-71,-76,-100,-100,-100,-100,-100,1,1
-62,-100,-73,-84,-100,-100,-100,-100,-100,1,1
-55,-70,-100,-100,-100,-100,-100,-100,-100,1,1
-55,-100,-100,-100,-83,-100,-100,-100,-100,1,1
-66,-81,-82,-100,-100,-100,-100,-100,-100,1,1
-62,-77,-80,-100,-75,-100,-100,-100,-100,1,1
-52,-76,-79,-100,-71,-82,-83,-100,-100,1,1
-61,-100,-100,-100,-72,-83,-100,-100,-100,1,1
-60,-100,-85,-100,-100,-100,-100,-100,-100,1,1
-72,-52,-73,-61,-79,-85,-100,-100,-100,1,1
-73,-62,-76,-69,-70,-79,-100,-100,-100,1,1
-72,-54,-67,-68,-76,-79,-100,-100,-91,1,1
-100,-49,-65,-58,-78,-75,-100,-100,-100,1,1
-79,-59,-62,-56,-100,-86,-100,-100,-90,1,1
-76,-53,-64,-59,-79,-89,-100,-100,-90,1,1
-83,-52,-70,-63,-100,-100,-100,-100,-92,1,1
