24:d3:f2:a7:b3:cd,b4:74:9f:ba:83:34,b0:89:00:74:7c:84,9c:d6:43:cb:23:c0,30:99:35:90:32:9f,44:fb:5a:d2:d0:61,d8:0d:17:db:be:92,10:10:81:ad:c4:92,f4:e3:fb:90:3a:a8,indoor,roomNum
-86,-100,-87,-100,-83,-92,-61,-63,-78,1,3
-83,-100,-100,-70,-100,-100,-48,-68,-78,1,3
-100,-100,-80,-100,-88,-89,-42,-66,-83,1,3
-100,-100,-79,-70,-86,-100,-53,-70,-81,1,3
-85,-96,-77,-81,-100,-100,-42,-71,-81,1,3
-100,-100,-88,-100,-100,-100,-100,-71,-100,1,3
-100,-100,-78,-100,-100,-100,-51,-66,-86,1,3
-100,-100,-78,-78,-100,-100,-49,-62,-100,1,3
-100,-100,-73,-100,-88,-100,-48,-66,-73,1,3
-100,-88,-76,-85,-100,-86,-50,-67,-71,1,3
-100,-90,-100,-100,-100,-85,-45,-67,-70,1,3
-100,-100,-72,-68,-86,-100,-45,-67,-72,1,3
-100,-100,-73,-59,-100,-100,-54,-60,-73,1,3
-100,-95,-74,-63,-83,-91,-56,-60,-68,1,3
-100,-100,-81,-100,-100,-87,-40,-50,-87,1,3
-100,-100,-86,-77,-100,-100,-42,-52,-79,1,3
-100,-100,-81,-72,-90,-100,-44,-56,-81,1,3
-83,-100,-100,-78,-75,-100,-100,-54,-82,1,3
-100,-100,-84,-76,-100,-93,-44,-54,-82,1,3
-100,-100,-83,-100,-100,-100,-44,-55,-81,1,3
-100,-100,-83,-100,-100,-100,-100,-57,-81,1,3
-100,-100,-100,-100,-100,-100,-100,-57,-81,1,3
-100,-100,-84,-100,-100,-100,-44,-57,-82,1,3
-100,-100,-87,-79,-100,-100,-44,-56,-81,1,3
-100,-100,-100,-80,-86,-100,-44,-56,-100,1,3
-100,-100,-82,-100,-76,-100,-100,-56,-85,1,3
-100,-100,-83,-84,-73,-100,-47,-56,-79,1,3
-100,-100,-85,-86,-73,-100,-100,-55,-83,1,3
-100,-96,-78,-68,-77,-100,-49,-69,-88,1,3
-100,-100,-78,-77,-77,-100,-49,-100,-86,1,3
-100,-100,-81,-77,-100,-100,-42,-63,-78,1,3
-100,-100,-81,-75,-100,-100,-41,-61,-78,1,3
-85,-100,-82,-71,-89,-100,-46,-61,-77,1,3
-100,-100,-81,-75,-100,-100,-52,-58,-77,1,3
-100,-100,-83,-75,-100,-100,-42,-59,-80,1,3
