10:10:81:ad:c4:92,24:d3:f2:a7:b3:cd,44:fb:5a:d2:d0:61,f4:e3:fb:90:3a:a8,9c:d6:43:cb:23:c0,b0:89:00:74:7c:84,b4:74:9f:ba:83:34,30:99:35:90:32:9f,d8:0d:17:db:be:92,indoor,roomNum
//Mobile Tawfik
-100,-66,-100,-100,-82,-81,-57,-100,-100,1,1
-100,-74,-100,-100,-64,-53,-42,-100,-100,1,1
-100,-76,-100,-100,-62,-70,-51,-100,-100,1,1
-100,-74,-100,-100,-100,-78,-63,-65,-100,1,1
-100,-68,-100,-100,-72,-69,-69,-100,-100,1,1
-100,-77,-100,-100,-100,-81,-75,-74,-100,1,1
-100,-74,-100,-100,-58,-45,-46,-100,-100,1,1
-100,-66,-100,-100,-76,-71,-60,-100,-90,1,1
-100,-55,-100,-100,-80,-70,-100,-100,-100,1,1
-100,-69,-100,-100,-69,-54,-49,-100,-100,1,1
-100,-64,-100,-100,-72,-76,-60,-81,-100,1,1
-100,-55,-100,-100,-86,-86,-80,-100,-100,1,1
-100,-81,-100,-100,-65,-68,-62,-100,-100,1,1
-100,-100,-100,-100,-59,-68,-51,-100,-100,1,1
-100,-100,-100,-100,-62,-58,-54,-100,-100,1,1
-100,-100,-100,-100,-68,-64,-55,-100,-100,1,1
-100,-91,-100,-100,-68,-65,-55,-100,-100,1,1
-100,-100,-100,-100,-62,-67,-53,-100,-100,1,1
-100,-100,-100,-100,-70,-75,-47,-80,-100,1,1
-100,-79,-100,-100,-60,-66,-69,-85,-100,1,1
-100,-100,-100,-100,-67,-71,-62,-69,-100,1,1
-100,-71,-100,-100,-64,-80,-67,-77,-100,1,1
-100,-71,-100,-100,-64,-80,-67,-77,-100,1,1
-100,-87,-100,-100,-67,-71,-50,-100,-100,1,1
-100,-100,-100,-100,-50,-66,-55,-100,-100,1,1
-100,-79,-100,-100,-63,-71,-53,-100,-100,1,1
-100,-100,-100,-100,-66,-64,-61,-100,-88,1,1
-100,-82,-100,-100,-100,-74,-62,-85,-100,1,1
-100,-100,-100,-100,-62,-68,-57,-100,-100,1,1
-100,-72,-100,-100,-60,-70,-100,-72,-100,1,1
-100,-100,-100,-100,-100,-65,-50,-100,-100,1,1
-100,-100,-100,-100,-54,-61,-55,-100,-100,1,1
-100,-100,-100,-100,-63,-61,-61,-100,-100,1,1
-100,-68,-100,-100,-60,-69,-49,-88,-100,1,1
-100,-76,-100,-100,-63,-55,-54,-100,-100,1,1
-100,-59,-100,-100,-86,-73,-78,-90,-100,1,1
-100,-47,-100,-100,-81,-81,-75,-82,-100,1,1
-100,-46,-100,-100,-100,-79,-77,-100,-100,1,1
-100,-40,-100,-100,-80,-84,-80,-71,-84,1,1
-100,-40,-100,-100,-75,-73,-100,-100,-100,1,1
-100,-31,-100,-100,-78,-80,-100,-61,-100,1,1
-100,-45,-100,-100,-78,-89,-77,-69,-100,1,1
-100,-56,-100,-100,-73,-67,-62,-78,-100,1,1
-100,-79,-100,-100,-63,-75,-47,-100,-100,1,1
