24:d3:f2:a7:b3:cd,b4:74:9f:ba:83:34,b0:89:00:74:7c:84,9c:d6:43:cb:23:c0,30:99:35:90:32:9f,44:fb:5a:d2:d0:61,d8:0d:17:db:be:92,10:10:81:ad:c4:92,f4:e3:fb:90:3a:a8,indoor,roomNum
-100,-71,-84,-37,-52,-67,-100,-100,-90,1,2
-100,-67,-85,-38,-55,-69,-91,-100,-86,1,2
-100,-69,-83,-37,-52,-67,-100,-87,-100,1,2
-84,-68,-84,-38,-53,-69,-100,-90,-100,1,2
-85,-70,-84,-37,-53,-67,-91,-100,-90,1,2
-85,-68,-83,-38,-53,-67,-92,-87,-93,1,2
-84,-69,-83,-37,-53,-68,-100,-87,-92,1,2
-100,-70,-83,-37,-52,-67,-90,-87,-95,1,2
-84,-69,-85,-37,-68,-66,-93,-100,-88,1,2
-100,-69,-83,-37,-52,-70,-90,-100,-100,1,2
-84,-72,-83,-37,-52,-69,-100,-88,-88,1,2
-100,-71,-85,-37,-52,-71,-100,-88,-87,1,2
-100,-69,-84,-37,-52,-67,-90,-90,-90,1,2
-89,-62,-77,-36,-57,-71,-84,-78,-85,1,2
-80,-63,-77,-48,-58,-83,-100,-100,-79,1,2
-100,-63,-77,-51,-55,-83,-92,-100,-80,1,2
-100,-62,-77,-49,-57,-80,-100,-87,-81,1,2
-100,-63,-76,-49,-58,-82,-90,-91,-80,1,2
-84,-63,-78,-49,-64,-76,-90,-90,-80,1,2
-80,-63,-76,-49,-56,-100,-91,-100,-81,1,2
-81,-64,-77,-48,-55,-100,-93,-100,-78,1,2
-100,-64,-76,-49,-55,-100,-91,-100,-79,1,2
-80,-63,-79,-51,-53,-100,-100,-86,-80,1,2
-80,-62,-77,-47,-52,-80,-85,-100,-78,1,2
-81,-65,-77,-49,-57,-82,-87,-100,-80,1,2
-78,-63,-78,-55,-61,-83,-92,-89,-79,1,2
-100,-63,-79,-47,-58,-80,-90,-93,-78,1,2
-77,-70,-80,-45,-58,-67,-91,-86,-83,1,2
-76,-61,-73,-40,-56,-65,-92,-100,-88,1,2
-75,-60,-74,-40,-57,-65,-100,-89,-88,1,2
-76,-60,-74,-40,-57,-65,-100,-100,-79,1,2
-88,-59,-74,-40,-57,-65,-90,-87,-78,1,2
-76,-60,-73,-38,-57,-62,-91,-85,-100,1,2
-76,-60,-71,-40,-59,-64,-90,-86,-80,1,2
-77,-61,-74,-40,-56,-64,-100,-88,-79,1,2
